,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
LinearRegression,0.24557743072509766,0.04297547340393067,0.7592789997553002,-1337.9835935379097,-3688549.9335168474
KNeighborsRegressor,0.8503252029418945,2.422754669189453,0.5297866268796538,-1612.172312936408,-7240708.926975134
DecisionTreeRegressor,0.6819380760192871,0.04118514060974121,0.9748422670266258,-62.133812659698734,-391620.71157387004
RandomForestRegressor,34.88609976768494,0.24517064094543456,0.9825609860914086,-59.693353698518216,-269098.7625565439
