,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
LinearRegression,0.23694581985473634,0.041121053695678714,0.735447629653539,-2025.8803671476949,-8786820.99925824
KNeighborsRegressor,0.8562866687774658,2.478642702102661,0.4954675325358592,-2460.2218251635313,-17233854.547972277
DecisionTreeRegressor,0.7578674793243408,0.04259171485900879,0.9517995781819228,-163.78986726017393,-1756288.553299487
RandomForestRegressor,39.110313701629636,0.314574670791626,0.9531585464773444,-210.83393414241627,-1768111.1992609203
