,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
LinearRegression,0.297145414352417,0.055209779739379884,0.735447629653539,-2025.8803671476949,-8786820.99925824
KNeighborsRegressor,1.0691301345825195,2.8258533000946047,0.4954675325358592,-2460.2218251635313,-17233854.547972277
DecisionTreeRegressor,0.8940465927124024,0.05210862159729004,0.9531021574228923,-164.35712490205094,-1692878.7467181098
RandomForestRegressor,45.05291657447815,0.3548243999481201,0.9544853285273819,-201.43610387363188,-1742026.9708874703
