,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
LinearRegression,0.3300953388214111,0.05996718406677246,0.735447629653539,-2025.8803671476949,-8786820.99925824
KNeighborsRegressor,0.9248022556304931,2.607314920425415,0.4954675325358592,-2460.2218251635313,-17233854.547972277
DecisionTreeRegressor,0.8257077693939209,0.04379396438598633,0.9499329812471057,-165.07909503460013,-1871643.7978091084
RandomForestRegressor,41.73189697265625,0.34816813468933105,0.9547487290323495,-204.36983612877287,-1715454.7804470889
