,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
LinearRegression,0.24690470695495606,0.04201111793518066,0.735447629653539,-2025.8803671476949,-8786820.99925824
KNeighborsRegressor,0.9218522071838379,2.5210454940795897,0.4954675325358592,-2460.2218251635313,-17233854.547972277
DecisionTreeRegressor,0.7832499504089355,0.042104339599609374,0.9529701125066982,-163.59182057551658,-1708219.7675748013
RandomForestRegressor,42.460286140441895,0.33353466987609864,0.9517984506349432,-213.06087545888317,-1813981.854125217
