,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
LinearRegression,0.23702392578125,0.04118390083312988,0.735447629653539,-2025.8803671476949,-8786820.99925824
KNeighborsRegressor,0.873997974395752,2.4512568950653075,0.4954675325358592,-2460.2218251635313,-17233854.547972277
DecisionTreeRegressor,0.7721169471740723,0.041967248916625975,0.9543923812293365,-163.5275998421249,-1666789.1705101863
RandomForestRegressor,39.702378273010254,0.3140708923339844,0.955305697027183,-204.09630681470748,-1695115.9511476841
