,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
LinearRegression,0.23410992622375487,0.04085893630981445,0.735447629653539,-2025.8803671476949,-8786820.99925824
KNeighborsRegressor,0.8426946640014649,2.4425378322601317,0.4954675325358592,-2460.2218251635313,-17233854.547972277
DecisionTreeRegressor,0.746908712387085,0.04177851676940918,0.9528625646968703,-164.8295130344424,-1711387.397961085
RandomForestRegressor,40.5316104888916,0.31077213287353517,0.953261050550202,-211.80204365472792,-1765439.0915086358
