,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
LinearRegression,0.3355138301849365,0.044021320343017575,0.735447629653539,-2025.8803671476949,-8786820.99925824
KNeighborsRegressor,0.8575483322143554,2.463403081893921,0.4954675325358592,-2460.2218251635313,-17233854.547972277
DecisionTreeRegressor,0.7432139873504638,0.0415156364440918,0.9535284193457466,-163.36975242725072,-1705191.633459337
RandomForestRegressor,39.50995631217957,0.3120582580566406,0.9574164406924173,-198.95434104977733,-1609962.8677283125
