,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
LinearRegression,0.3569969177246094,0.04790849685668945,0.7354730359165694,-2026.1107122372316,-8786808.647280868
KNeighborsRegressor,0.9787675857543945,2.769581842422485,0.49546630035424777,-2460.064299400904,-17239419.622520458
DecisionTreeRegressor,0.8387483119964599,0.0448725700378418,0.9536395379622193,-166.16132766840914,-1687285.9505253453
RandomForestRegressor,40.345589828491214,0.32247233390808105,0.9520539902858504,-214.71060162120116,-1807361.6476001658
