,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
LinearRegression,0.23554883003234864,0.04084277153015137,0.735447629653539,-2025.8803671476949,-8786820.99925824
KNeighborsRegressor,0.8709461688995361,2.4454908847808836,0.4954675325358592,-2460.2218251635313,-17233854.547972277
DecisionTreeRegressor,0.770314359664917,0.04184379577636719,0.9533519480570731,-164.5805050377755,-1697428.0313256434
RandomForestRegressor,41.80784268379212,0.33631224632263185,0.9531032978562617,-209.95040380817227,-1774736.90524766
