,fit_time,score_time,test_r2,test_neg_mean_absolute_error,test_neg_mean_squared_error
KNeighborsRegressor,0.9871139049530029,2.6763458251953125,0.4921158780758271,-2471.007681500453,-17343400.618839085
LinearRegression,0.256449556350708,0.042748022079467776,0.735447629653539,-2025.8803671476949,-8786820.99925824
